eventCode,shortName,month,startDate,finishDate,startTime,endTime,description,project,individualsNEEDED,week,year,milestone,status,PreCovidDATE,Tasks ,Notes,attachment,cost
repayTIME1,daveChoqScholarship,june,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone14,,,,,,
repayTIME10,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone32,,,,,,
repayTIME11,daveChoqScholarship,may,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone33,,,,,,
repayTIME12,daveChoqScholarship,may,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone34,,,,,,
repayTIME13,daveChoqScholarship,may,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone35,,,,,,
repayTIME14,daveChoqScholarship,march,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone36,,,,,,
repayTIME15,daveChoqScholarship,march,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone37,,,,,,
repayTIME16,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone38,,,,,,
repayTIME17,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2021,Lifemilestone40,,,,,,
repayTIME2,daveChoqScholarship,june,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone15,,,,,,
repayTIME3,daveChoqScholarship,march ,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone16,,,,,,
repayTIME4,daveChoqScholarship,march,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone17,,,,,,
repayTIME5,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone18,,,,,,
repayTIME6,daveChoqScholarship,march,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone28,,,,,,
repayTIME7,daveChoqScholarship,march,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone29,,,,,,
repayTIME8,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone30,,,,,,
repayTIME9,daveChoqScholarship,april,,,15:00,15:00,,finances,Anthony,,2020,Lifemilestone31,,,,,,
