"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"?Ride","11/8/2018","8:00:00 AM","11/8/2018","12:30:00 PM","False","False","10/8/2018","2:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Finish MPD data  and maybe surf the coast...","10/8/2018","2:00:00 PM","10/8/2018","6:00:00 PM","False","False","9/8/2018","8:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Kanga stuff...just send the bloody email","10/8/2018","12:30:00 PM","10/8/2018","1:00:00 PM","False","False","9/8/2018","6:30:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"ANU gym etc deal...","10/8/2018","6:00:00 AM","10/8/2018","8:00:00 AM","False","False","9/8/2018","12:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Dave","7/8/2018","6:15:00 PM","7/8/2018","7:45:00 PM","False","False","7/8/2018","12:15:00 AM",,,,,,,"
","Phillip ave",,"Normal","False","Normal","2"
"Doctors","7/8/2018","9:30:00 AM","7/8/2018","10:30:00 AM","False","False","6/8/2018","3:30:00 PM",,,,,,,"
","UNi",,"Normal","False","Normal","2"
"Cherie over for 4 days","6/8/2018","6:00:00 PM","12/8/2018","6:30:00 PM","False","False","6/8/2018","12:00:00 AM",,,,,,,"
","",,"Normal","False","Normal","2"
"Dog walk","6/8/2018","4:00:00 PM","6/8/2018","5:00:00 PM","False","False","5/8/2018","10:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"XAVIER RUDD ","2/8/2018","11:00:00 AM","2/8/2018","12:00:00 PM","False","False","1/8/2018","5:00:00 PM",,,,,,,,"Co-op (Building 1, Level B, The Concourse, Canberra Australian Capital Territory, Australia)",,"Normal","False","Normal","2"
"SSN final dogned sheets ","29/7/2018","3:00:00 PM","29/7/2018","4:00:00 PM","False","False","28/7/2018","9:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"study day at mine","29/7/2018","9:14:00 AM","29/7/2018","4:14:00 PM","False","False","28/7/2018","3:14:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Timesheet ","28/7/2018","3:15:00 PM","28/7/2018","4:15:00 PM","False","False","27/7/2018","9:15:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Mppd data","28/7/2018","2:00:00 AM","28/7/2018","3:00:00 AM","False","False","27/7/2018","8:00:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Statistics email","26/7/2018","7:00:00 AM","26/7/2018","7:30:00 AM","False","False","25/7/2018","1:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","25/7/2018","6:00:00 PM","25/7/2018","8:00:00 PM","False","False","25/7/2018","12:00:00 AM",,,,,,,"
","Llara's",,"Normal","False","Normal","2"
"Coding....","25/7/2018","3:30:00 PM","25/7/2018","4:00:00 PM","False","False","24/7/2018","9:30:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"My timesheet","25/7/2018","2:00:00 PM","25/7/2018","3:30:00 PM","False","False","24/7/2018","8:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dorjee FINISH....","25/7/2018","12:30:00 PM","25/7/2018","2:00:00 PM","False","False","24/7/2018","6:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"NAthan meeting supervisors _eta 12-2pm....","25/7/2018","12:00:00 PM","25/7/2018","12:30:00 PM","False","False","24/7/2018","6:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Sophie","25/7/2018","10:00:00 AM","25/7/2018","11:00:00 AM","False","False","24/7/2018","4:00:00 PM",,,,,,,,"Co-op (Building 1, Level B, The Concourse, Canberra Australian Capital Territory, Australia)",,"Normal","False","Normal","2"
"Shalini","25/7/2018","9:00:00 AM","25/7/2018","10:00:00 AM","False","False","24/7/2018","3:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","25/7/2018","6:00:00 AM","25/7/2018","7:00:00 AM","False","False","24/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","26/7/2018","6:00:00 AM","26/7/2018","7:00:00 AM","False","False","25/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","27/7/2018","6:00:00 AM","27/7/2018","7:00:00 AM","False","False","26/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","28/7/2018","6:00:00 AM","28/7/2018","7:00:00 AM","False","False","27/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","29/7/2018","6:00:00 AM","29/7/2018","7:00:00 AM","False","False","28/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","30/7/2018","6:00:00 AM","30/7/2018","7:00:00 AM","False","False","29/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","31/7/2018","6:00:00 AM","31/7/2018","7:00:00 AM","False","False","30/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","1/8/2018","6:00:00 AM","1/8/2018","7:00:00 AM","False","False","31/7/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","2/8/2018","6:00:00 AM","2/8/2018","7:00:00 AM","False","False","1/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","3/8/2018","6:00:00 AM","3/8/2018","7:00:00 AM","False","False","2/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","4/8/2018","6:00:00 AM","4/8/2018","7:00:00 AM","False","False","3/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","5/8/2018","6:00:00 AM","5/8/2018","7:00:00 AM","False","False","4/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","6/8/2018","7:00:00 AM","6/8/2018","8:00:00 AM","False","False","5/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","7/8/2018","6:00:00 AM","7/8/2018","7:00:00 AM","False","False","6/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","8/8/2018","6:00:00 AM","8/8/2018","7:00:00 AM","False","False","7/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","9/8/2018","6:00:00 AM","9/8/2018","7:00:00 AM","False","False","8/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","10/8/2018","1:00:00 PM","10/8/2018","2:00:00 PM","False","False","9/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","11/8/2018","6:00:00 AM","11/8/2018","7:00:00 AM","False","False","10/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","12/8/2018","6:00:00 AM","12/8/2018","7:00:00 AM","False","False","11/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","13/8/2018","6:00:00 AM","13/8/2018","7:00:00 AM","False","False","12/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","14/8/2018","6:00:00 AM","14/8/2018","7:00:00 AM","False","False","13/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","15/8/2018","6:00:00 AM","15/8/2018","7:00:00 AM","False","False","14/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","16/8/2018","6:00:00 AM","16/8/2018","7:00:00 AM","False","False","15/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","17/8/2018","6:00:00 AM","17/8/2018","7:00:00 AM","False","False","16/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","18/8/2018","6:00:00 AM","18/8/2018","7:00:00 AM","False","False","17/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","19/8/2018","6:00:00 AM","19/8/2018","7:00:00 AM","False","False","18/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","20/8/2018","6:00:00 AM","20/8/2018","7:00:00 AM","False","False","19/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","21/8/2018","6:00:00 AM","21/8/2018","7:00:00 AM","False","False","20/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","22/8/2018","6:00:00 AM","22/8/2018","7:00:00 AM","False","False","21/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","23/8/2018","6:00:00 AM","23/8/2018","7:00:00 AM","False","False","22/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","24/8/2018","6:00:00 AM","24/8/2018","7:00:00 AM","False","False","23/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Dog walk","25/8/2018","6:00:00 AM","25/8/2018","7:00:00 AM","False","False","24/8/2018","12:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"House sitting gig","25/7/2018","12:00:00 AM","26/8/2018","12:00:00 AM","True","False","24/7/2018","11:45:00 PM",,,,,,,,"88 Rivett Street, Hackett, Canberra",,"Normal","False","Normal","3"
"biobeers","18/7/2018","3:45:00 PM","18/7/2018","5:00:00 PM","False","False","17/7/2018","9:45:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Diana Fifield_stats_medical_imaging","18/7/2018","2:30:00 PM","18/7/2018","4:00:00 PM","False","False","17/7/2018","8:30:00 PM",,,,,,,"
","3C3",,"Normal","False","Normal","2"
"Shalini_stats_mission","17/7/2018","9:00:00 AM","17/7/2018","11:00:00 AM","False","False","16/7/2018","3:00:00 PM",,,,,,,"
","3C3",,"Normal","False","Normal","2"
"Lunch","16/7/2018","12:30:00 PM","16/7/2018","1:30:00 PM","False","False","15/7/2018","6:30:00 PM",,,,,,,,"Mizzuna Cafe (The Hub, University of Canberra, Bruce Australian Capital Territory, Australia)",,"Normal","False","Normal","2"
"Finish timesheets and have signed","16/7/2018","11:45:00 AM","16/7/2018","12:30:00 PM","False","False","15/7/2018","5:45:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"PhD work","14/7/2018","3:30:00 PM","14/7/2018","6:00:00 PM","False","False","13/7/2018","9:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Stats planning","14/7/2018","2:00:00 PM","14/7/2018","3:00:00 PM","False","False","13/7/2018","8:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Finalise timesheets","14/7/2018","12:00:00 PM","14/7/2018","2:00:00 PM","False","False","13/7/2018","6:00:00 PM",,,,,,,"Hey guy,

I will contact you to check the finalised timesheet between july-september and sign docs.

Cheers,
Anthony
","",,"Normal","False","Normal","2"
"barrio coffee","14/7/2018","8:00:00 AM","14/7/2018","9:00:00 AM","False","False","13/7/2018","2:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Market","14/7/2018","6:30:00 AM","14/7/2018","7:30:00 AM","False","False","13/7/2018","12:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Skate","13/7/2018","7:30:00 PM","13/7/2018","9:00:00 PM","False","False","13/7/2018","1:30:00 AM",,,,,,,"
","UNi",,"Normal","False","Normal","2"
"FISHING the Lake","13/7/2018","5:00:00 PM","13/7/2018","7:30:00 PM","False","False","12/7/2018","11:00:00 PM",,,,,,,"
","UNI",,"Normal","False","Normal","2"
"Court","12/7/2018","2:00:00 PM","12/7/2018","5:00:00 PM","False","False","11/7/2018","8:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
